Step	Training Loss	Validation Loss	Bleu	Ter	Rouge1	Rougel
33500	0.277600	0.369182	35.856933	50.483634	0.672514	0.650261
33750	0.268700	0.369392	35.895337	50.345453	0.672510	0.650227
34000	0.271200	0.369239	35.901015	50.462043	0.672091	0.650189
34250	0.274600	0.369533	35.739038	50.660679	0.671242	0.649621
34500	0.276500	0.369529	35.823536	50.405907	0.671907	0.650431
34750	0.272300	0.369624	35.676472	50.647724	0.671695	0.649572
35000	0.276700	0.369895	35.660438	50.449089	0.671796	0.649984
35250	0.279600	0.369888	35.759765	50.613179	0.671311	0.649584
35500	0.272800	0.370016	35.822633	50.574316	0.672321	0.650548
35750	0.276600	0.369776	35.673071	50.634770	0.672211	0.650034
36000	0.273000	0.369754	35.679284	50.574316	0.672767	0.649978
36250	0.273900	0.369542	35.901453	50.384316	0.673462	0.651433
36500	0.274700	0.369566	35.870960	50.565679	0.673151	0.650908
36750	0.277000	0.369266	35.963037	50.643406	0.672962	0.651229
37000	0.272300	0.369268	35.592187	50.829087	0.671165	0.649008
37250	0.273600	0.369451	35.666162	50.798860	0.671571	0.649147
37500	0.277200	0.369627	35.791913	50.569997	0.671680	0.649360
37750	0.263200	0.369659	35.827085	50.518179	0.672418	0.650055
38000	0.265300	0.369847	35.808987	50.600225	0.672146	0.649482
38250	0.274500	0.370001	35.784333	50.643406	0.672250	0.649902
38500	0.263200	0.370028	36.012384	50.392953	0.673796	0.651367
38750	0.270400	0.369861	35.882995	50.604543	0.672419	0.649766
39000	0.268200	0.369930	35.874588	50.656361	0.672489	0.650002
39250	0.271100	0.369952	35.783304	50.690906	0.671647	0.649358
39500	0.266300	0.369954	35.800055	50.591588	0.672087	0.650089
39750	0.265200	0.369939	35.873514	50.652042	0.672484	0.650417
40000	0.267600	0.369873	35.836985	50.656361	0.671842	0.649615
40250	0.273400	0.369764	35.781452	50.660679	0.672347	0.650264
40500	0.268800	0.369824	35.865574	50.587270	0.672434	0.650442
40750	0.267700	0.369841	35.919791	50.621815	0.672185	0.650125
41000	0.273600	0.369805	35.976992	50.531134	0.672911	0.650908
41250	0.271500	0.369846	35.929575	50.608861	0.672638	0.650418
41500	0.270300	0.369846	35.938851	50.544088	0.672670	0.650429
